# HOTD2 function names — the committed source of truth for the Ghidra database.
#
# Format: <address>\t<name>\t<optional comment>
# Addresses are virtual, lower-case hex, no 0x prefix.
#
# Regenerate from a live database with:   ./ghidra/run.sh export-annotations
# Replay onto a fresh import with:        ./ghidra/run.sh apply-annotations
#
# ApplyAnnotations only renames a symbol whose current name is still a Ghidra
# default (FUN_/SUB_/LAB_/DAT_/UNK_), so re-applying is idempotent and never
# clobbers a name a human chose in the GUI.
#
# Names recovered by Ghidra's own analysers (CRT, D3DX, Catch@/Unwind@) are
# deliberately NOT listed: auto-analysis recreates them on import.#
# **Rows are sorted by address, and every writer must keep them that way.**
# tools/annotate.py inserts in order; ExportAnnotations.java re-sorts on write.
# The file used to be append-only and grouped into topical sections, and both
# workstreams appending at the tail is where every TSV merge conflict came
# from -- two branches adding unrelated rows to the same last line. Sorted
# insertion puts them in different parts of the file instead. The sections
# went with it: each one spanned nearly the whole segment, so address order
# broke the twelve of them into 149 fragments.

00401260	RegionDrawResidentSet	walks the region tables; the engine's only table-driven draw path
004177d0	HudDrawAmmoAndReloadPrompt	The ammo readout and the RELOAD prompt, one player. Called from PlayerUpdateInPlay only while g_nFiringGate is non-zero. Draws nothing unless g_bHudShutterState is 2 (fully open, full size) or 1 (opening, scaled by (40 - counter)*0.0125 + 1 from the per-player float at 0x007C2120); any other shutter state zeroes that counter and skips the readout. Arcade draws one bullet sprite per round left, stepping (spacing + 24) px from x=24 for player 1 and back from x=592 for player 2, at y = 364 + the per-weapon dy. Original Mode draws the same sprite once plus a two-digit count when g_player_ammo >= 7, and 'oo' (sprites 0x65, 99) when g_player_magazine_size is -1, i.e. unlimited; the sprite and the two offsets come from the 12-byte rows at 0x004ECA20 indexed by the weapon at DAT_009A2247. Then the RELOAD prompt, which needs the empty latch DAT_009A5C7E set AND g_nFiringGate again (0x00418001): sprite 0xA27 blinks on the low 45 of every 60 frames of the counter at 0x009A5C80, joined after 120 frames by 0xA28 or 0xA29, and the same counter plays a nag sound while the trigger is held. The counter counts up and re-arms at 120 rather than overflowing.
00418200	LoadCommonPolTexBanks	Loads the shared pol/common.bin and tex/common.bin asset banks.  The clearest example of the asset load path in the binary; every other loader is a variation on it.    wsprintfA(path, "pol\%s", "common.bin")   CreateFileA / GetFileSize / ReadFile into the staging buffer at 009c8e54   size = *staging                     <- u32 uncompressed size header   LzDecompress(staging + 1, dst)      <- src skips the header  The pol bank decompresses to a fixed .data buffer at 00811720. The tex bank is allocated at run time: alloc(size + 0x20), then aligned up to 32 before use.  The registration loop that follows walks 0x175 (373) entries of a table at 004e3110, using the sign bit of each container word as a present/absent flag.
004184c0	SetupSceneProjection	SetupSceneProjection()  The game's one 3D projection setup. Called from the per-frame scene update (FUN_0040E730) and from FUN_00460030.      SetMatrixMode(3);                       /* PROJECTION            */     MatrixLoadIdentity();     MatrixTranslate(DAT_009C7300, DAT_009C7304, 0);   /* screen offset, both 0 */     BuildPerspectiveProjection(0x1D3B, 4.0/3.0, 0.8, 8000.0);     SetMatrixMode(1);                       /* commits it via SetTransform */     MatrixLoadIdentity();     ...     DAT_009A2D70 = 240.0 / tan(0.35866388296751145);   /* = 640.16 */  So, for the whole game:      vertical FOV   0x1D3B BAMS = 41.100 degrees = 0.7173277659 rad     horizontal FOV 53.127 degrees     aspect         4:3     near / far     0.8 / 8000.0  DAT_009A2D70 = 640.16 is the projection distance in pixels for a 480-tall viewport -- (480/2) / tan(fovY/2) -- and is an independent confirmation of the same FOV.  Not to be confused with the projection built once in InitD3DDeviceAndTextureStages (0x004A4DA0) with fov DAT_00598778 = 60 degrees, aspect 0.9, near 1.0, far 6000.0 into DAT_007DE5C8. That matrix is never handed to the device -- DAT_007DE5C8 has exactly one xref, the call that fills it -- and DAT_00598778 has exactly one read. It is stock d3du sample scaffolding and is dead. The 60 degrees there is a red herring.
00418560	AssetDrawSlot
004185a0	AssetDrawSlotWithAlpha
004185e0	SubmitSlotWithSceneLightArray	lit variant of AssetDrawSlot, same slot
00418820	AssetLoadOneSlot
00418a00	AssetLoadTexBankStep
00418ba0	AssetUnloadSlot
00419200	AssetGetBoundingSphere
00419270	ModelFlipStripCullingParity	ModelFlipStripCullingParity(model)  Walks a loaded NL1 model's mesh chain and XORs bit 0 of every *strip* control word, flipping culling 2 <-> 3 (backface <-> frontface) and 0 <-> 1 (both "no cull", so a no-op there).  Applied ONLY to the four asset slots listed at g_ModelFixupSlotList (0x0057A280) -- it is a per-asset content patch, not a general load step. Paired with ModelForceFogControlNone, called immediately before it.  This is the canonical statement of the NL1 chain walk. Three rules, nothing else -- no parameter_control bit, no shading mode, no 16-bit-UV flag:    chain word bit 31 set  -> mesh header, 0x50 bytes, skip geometry with                             (mesh_data_size & ~3)   chain word bit 31 clear-> strip header {flags, count}, 8 bytes;                             count is a TRIANGLE count when flags & 8   vertex record          -> 8 bytes when bit 0 of its first dword is clear                             (a back-reference), 32 bytes when set  Verified against all 9,112 models: the walk lands exactly on every declared mesh end, zero desyncs (tools/verify_walk.py).
00419300	ModelForceFogControlNone	ModelForceFogControlNone(model)  Walks a loaded NL1 model's mesh headers and rewrites each mesh's tsp_instruction:      tsp = (tsp & 0xFFBFFFFF) | 0x00800000;  Bits 22-23 are PowerVR2 fog control (0 LUT, 1 per-vertex, 2 none, 3 LUT mode 2). Clearing 22 and setting 23 forces fog control to 2 = NONE, so these meshes never take the fog path in TranslatePvr2StateToD3D.  Only reached for the four slots in g_ModelFixupSlotList. Mesh stride here is (mesh_data_size & ~3) + 0x50 -- the size field is masked down to a 4-byte boundary, as it is in WalkMeshChainAndDraw.  Note the walk assumes every chain word at this level has bit 31 set; if one does not it falls into an infinite loop, which is a second confirmation that a top-level chain word is always either a mesh header or the zero terminator.
004194c0	SetProjectionNearPlane
00419520	BuildCharacterPart	Build the runtime record for one of g_pCharacterExtraParts' parts, lazily, the first time SkeletonDrawWalk wants to draw it. Refuses while the part's asset slot is not resident. The 0x54-byte record holds four {count, source verts, index list, bone matrix} groups plus the drawn slot at +0x44 and the matrix the draw happens in at +0x50; the five bone indices come from g_character_part_bones[part], with per-character-type overrides for 0x0E, 0x1F/0x46/0x4E, 0x41, 0x4C and 0x53. Character type 0x17's part 1 goes to FUN_00419EB0 instead, which builds eight sub-parts. The vertices are a private copy of the loaded model's, so the deform writes into geometry only this actor draws.
004198b0	DrawCharacterPartAllGroups	Part drawer: deform all four groups -- which=1 for k in 0,1 then which=0 for k in 0,1 -- then draw. Every part 1 in the game takes it, and so does type 0x4C's whole 18-part list.
00419910	CharacterPartRecord	The part's 0x54-byte runtime record, or 0 if it has none yet. Rebuilds it through BuildCharacterPart when the asset slot has moved -- it compares rec+0x48 against the slot's current base -- and drops the old vertex map with FreeCharacterPartVertexMap.
00419980	DeformCharacterPartGroup	The deform, and it is a HARD PARTITION rather than a blend. One call per vertex group: it composes inverse(draw bone matrix) * (group bone matrix), then walks the part's rows -- one signed byte per row in the group's assign array -- and for every row the byte claims (>= 0) transforms that group's source point and normal, at rec+0x04/+0x24 with stride 0x18, into the draw bone's space and writes them over every copy of that vertex in the loaded model. A negative byte means the row belongs to another group. Measured across three parts: 0 rows claimed by two groups and 0 claimed by none, so every vertex has exactly one bone and weight 1. The source arrays are in the GROUP BONE's local space, so the net effect after the draw re-applies the draw bone's matrix is simply world = group_bone_matrix * source_vertex.
00419b40	DrawCharacterPartSlot	Draw the deformed part: set the matrix from rec+0x50, the FIFTH bone of the part's g_character_part_bones row, and AssetDrawSlot(rec+0x44). Skipped when the part's visibility byte at model+0x40 + part*8 + 1 is clear. The character-type switch chooses between AssetDrawSlot, SubmitSlotWithSceneLightArray and the two-argument lit variants, and type 0x4C's parts 0-5 draw a second slot from DAT_004EDA50 as well.
00419e40	DrawCharacterPartGroup2	Part drawer: deform group 2 only, then draw. g_character_part_drawers gives it to types 0x1F/0x46/0x4E parts 1 and 2.
00419e50	DeformAndDrawCharacterPart	DeformCharacterPartGroup for one group, then DrawCharacterPartSlot. The which argument picks the pair of group slots: 1 is groups 0 and 1, 0 is groups 2 and 3.
00419e90	DrawCharacterPartGroup0	Part drawer: deform group 0 only, then draw -- the commonest by far, and every humanoid's part 0 (the waist). The part's other groups are left holding what the loaded model stores, which is correct because a group whose bone IS the draw bone deforms to the identity: measured, the exe's source vertices for such a group equal the pol model's stored ones to within the low mantissa bit that WriteCharacterPartVertexPos sets.
00419ea0	DrawCharacterPartGroup0Thunk	Byte-for-byte the same as DrawCharacterPartGroup0 -- push 1, call DeformAndDrawCharacterPart -- as a second copy. g_character_part_drawers gives this one to character type 0x17's part 0.
00419eb0	BuildCharacterPartSubparts	Character type 0x17's part 1 alone, and a different mechanism: instead of one slot with four vertex groups it builds EIGHT sub-parts from g_class17_subpart_records, each with its own bone, asset slot and vertex map, into a 0xD0 record. Gated on DAT_009C7A78 == 4. Its eight bones are 16 and above, which is exactly the range SkeletonNodeDrawSuppressed vetoes for this type.
0041a020	DrawCharacterPartSubparts	The drawer for character type 0x17's eight sub-parts. Unread beyond its shape.
0041a300	DrawCharacterPart	Dispatch one of the character's non-skeleton parts: g_character_part_drawers[char_type][part](part). Every humanoid's part 0 is FUN_00419E90, which deforms one vertex group; the types with two parts draw part 1 through FUN_004198B0, which deforms all four. SkeletonDrawWalk's tail loop is what calls it, once per part that has a model and is not hidden.
0041a320	BuildCharacterPartVertexMap	Per part, the map from a logical vertex to every copy of it in the loaded model. Copies two blobs out of the mesh-info block in .rdata and relocates the second by adding the loaded model's base. The result is a 0x1C record: +0x04 the row count, +0x08 the head size in bytes, +0x10 the row stride, +0x18 the rows. A row is {s16 head[n]; u32 vertex_record_pointers[m]} with the pointer list terminated by -1, and a row is one logical vertex: measured, hito_gal's waist has 20 rows and 24 pointers onto 24 distinct vertex records, its skirt 24 rows and 28 pointers onto 28. The head is read by nothing in this build.
0041a410	FreeCharacterPartVertexMap	Frees the two blobs BuildCharacterPartVertexMap copied and then the record.
0041a480	WriteCharacterPartVertexPos	Write one deformed position over every copy of a logical vertex. It ORs bit 0 into the x coordinate's bits first, which is the PowerVR2 vertex control word: bit 0 of a record's first dword is what tells the chain walker this is a 32-byte vertex and not an 8-byte back-reference, so the write must not clear it. That costs the low mantissa bit of x, about 6e-4 at these magnitudes.
0041a4d0	WriteCharacterPartVertexNormal	The normal half of WriteCharacterPartVertexPos, at +0x0C of the vertex record. It ORs bit 0 into the normal's z for the same reason the position half does it to x.
0041a520	WriteCharacterPartVertexPosTwin	WriteCharacterPartVertexPos, writing the same position a second time 0x82C0 bytes further on. Used only for character type 0x4C's parts 0-5, whose model has a twin at that fixed offset.
0041a580	WriteCharacterPartVertexNormalTwin	WriteCharacterPartVertexNormal writing a second copy 0x82C0 bytes on, NEGATED -- the twin is mirrored, so its normals point the other way. Character type 0x4C only.
0041cfd0	PlaySoundId	PlaySoundId -- the single entry point for every sound in the game.  One id space, split by the TOP NIBBLE (id >> 28):    0  SE       linked list at DAT_005845F8, stride 0x34 = {u32 id; char[0x30]}               walked linearly comparing id; the matching record's name is               appended to "Sound\SE\". Terminated by id == 0xFFFF.               id 0 early-outs -- that is how a script says "no sound".               0x000100A0 is a special case: SS_SND_ALL_SOUND_OFF.               0x21A9 / 0x121A9 take a distinct FUN_004AC020 arg set.   1  BGM      (id & 0xFFF) indexes a table of char* filenames, prefixed with               the string at DAT_00588B58. TWO tables, chosen by:                   if (DAT_009C8E98 == 6 && g_GameMode == 0) plain else AR               0x00580354  char*[41]  "_AR" mix   (PTR_s_ST2_AR_WAV_00580354)               0x005803F8  char*[20]  plain mix   (PTR_s_ST2_WAV_005803F8)               The tables are CONTIGUOUS -- 0x580354 + 41*4 == 0x5803F8 --               which is what fixes their lengths; neither is terminated.               Index 0 is ST2, 1 is ST1; indices 2, 4 and 7 are null in both.               ids 0x10000009 / 0x10000014 / 0x10000025 pass 0 rather than 1               for FUN_004AC020's second arg (loop flag). Playing stores the               id in DAT_009C8FB8.   2  voice    (id & 0xFFF) * 0x24 into records at 0x0058044A; a s16 of -1               marks an empty slot. Name at +2, prefixed "Sound\Voice\".   8  control  0x80000000 stops playback (FUN_0041D3E0) and clears               DAT_009C8FB8.  Reached from evt opcode 0x5F via BgmStopThenPlay (0x0041D450), which is literally PlaySoundId(0x80000000) then PlaySoundId(operand[2]) -- the instruction consumes four operands and uses only the third. Also the SE path for evt opcodes 0x38/0x3A.  Stage BGM is NOT started from the event script: every bgm_entry_play in the six stage scripts names a boss or transition track (indices 5, 14, 15, 16, 18, 19). Whatever starts ST1_AR..ST6_AR at stage entry has not been traced.  See docs/formats/sound.md.  THE SE PATH HAS A LOOP BRANCH THAT WAS NOT WRITTEN DOWN HERE, and it is the whole of the game's looping ambience: before playing, and unless the id is 0x21A9 or 0x121A9, it walks g_looping_se_ids (0x005887FC) and g_looping_se_stop_ids (0x005888B0) in step -- an id found in the first sets the loop flag it hands SoundPlayOnFreeChannel, an id found in the second makes it call SoundStopAllLoopingSe() first and play unlooped. That is how one PlaySoundId call starts a chainsaw and another stops it, with no handle in between.
